"","Orig","Barking and Dagenham","Barnet","Bexley","Brent","Bromley","Camden","City of London","Croydon","Ealing","Enfield","Greenwich","Hackney","Hammersmith and Fulham","Haringey","Harrow","Havering","Hillingdon","Hounslow","Islington","Kensington and Chelsea","Kingston upon Thames","Lambeth","Lewisham","Merton","Newham","Redbridge","Richmond upon Thames","Southwark","Sutton","Tower Hamlets","Waltham Forest","Wandsworth","Westminster","(all)"
"1","Barking and Dagenham",0,776,26,908,234,3423,3447,610,1074,206,60,353,1879,333,532,9,1389,1428,1413,1979,561,1278,204,585,45,24,924,1174,450,692,107,1290,9807,37220
"2","Barnet",929,0,7,357,14,3192,12736,23,954,14,1732,1417,2693,331,12,5,23,29,2595,3064,13,5598,2176,2012,1603,15,22,7052,13,5937,19,3594,16212,74393
"3","Bexley",47,10,0,1661,5,6711,6170,7,1776,4,37,880,2953,844,4,2,7,9,3026,3175,4,1567,176,703,155,5,7,1507,4,1370,6,1717,16683,51232
"4","Brent",1079,354,1115,0,2386,2515,10794,2762,190,678,1647,1744,876,706,111,995,675,826,2833,1236,843,3585,1773,1101,1782,1587,741,5346,1240,5905,1184,1799,8869,69277
"5","Bromley",245,13,3,2105,0,9550,9168,9,1997,6,157,1665,3206,1480,5,2,9,12,4852,3606,5,1381,173,500,513,6,9,1736,5,2662,8,1510,20852,67450
"6","Camden",955,744,1058,590,2541,0,3603,3274,1275,690,1341,649,1258,323,752,1006,2754,2570,455,960,1497,2847,1414,1463,1228,1306,1703,3363,1679,2973,792,2000,2587,51650
"7","City of London",27,83,27,71,68,101,0,96,99,43,27,14,90,27,63,32,181,152,28,68,64,56,24,51,25,41,89,36,57,26,29,71,194,2060
"8","Croydon",485,15,3,1848,7,9331,9851,0,1559,7,392,2062,2359,1708,6,2,11,14,5286,2818,6,940,272,189,886,7,11,1771,6,3592,9,855,18229,64537
"9","Ealing",1147,851,1072,171,2034,4881,13561,2094,0,989,1647,2408,789,1198,137,1019,242,199,4439,1412,442,3228,1685,725,2002,1833,280,5437,834,6964,1556,1353,12213,78842
"10","Enfield",301,17,4,833,8,3612,8062,12,1352,0,774,616,3012,145,7,3,12,16,1757,3231,7,3943,1187,1572,586,8,12,4334,7,2811,10,3030,15676,56957
"11","Greenwich",69,1668,24,1598,172,5543,4010,568,1778,611,0,635,2584,744,1035,106,2505,2220,2320,2645,738,1114,77,651,85,226,1309,845,495,715,370,1449,13141,52050
"12","Hackney",321,1077,452,1334,1444,2115,1689,2358,2050,384,501,0,2668,176,1057,412,3370,3299,323,2367,1539,2377,694,1451,272,367,2121,1892,1431,515,156,2390,8472,51074
"13","Hammersmith and Fulham",1170,1402,1039,459,1904,2809,7171,1848,460,1285,1396,1827,0,1166,607,1143,1495,829,2912,116,521,1485,1197,479,1727,1902,433,2964,750,4834,1555,442,3292,52619
"14","Haringey",479,399,687,856,2033,1668,5085,3095,1616,143,930,279,2698,0,667,514,2614,2961,596,2597,1650,3742,1269,1763,655,511,2091,3857,1737,2188,184,2993,10524,63081
"15","Harrow",638,12,3,112,6,3237,9729,9,154,5,1078,1396,1170,556,0,2,9,11,2715,1616,5,2956,1255,810,1191,6,9,4299,5,4536,8,1592,10852,49982
"16","Havering",12,6,1,1185,3,5106,5882,4,1352,3,130,641,2598,505,2,0,4,5,2292,2831,2,1931,346,779,142,3,4,1966,2,1398,4,1804,14679,45622
"17","Hillingdon",439,6,1,179,3,3118,7344,4,72,3,686,1171,758,573,2,1,0,6,2419,1142,2,1742,761,374,851,3,4,2768,3,3321,4,854,8441,37055
"18","Hounslow",721,12,3,351,6,4651,9825,9,94,5,973,1832,672,1038,5,2,9,0,3684,1178,5,1808,952,283,1307,6,9,3324,5,4736,8,690,10200,48403
"19","Islington",635,974,768,1071,2079,733,1644,2987,1867,541,904,160,2100,186,1016,727,3441,3278,0,1700,1664,2610,1038,1564,687,811,2116,2437,1673,1357,419,2313,4888,50388
"20","Kensington and Chelsea",1119,1448,1014,588,1945,1946,4949,2004,748,1252,1297,1471,105,1019,761,1130,2044,1319,2140,0,715,1278,1090,594,1545,1790,714,2376,884,3921,1409,513,1207,46335
"21","Kingston upon Thames",393,7,2,497,3,3762,5770,5,290,3,449,1186,586,803,3,1,5,7,2597,886,0,695,385,44,711,4,5,1502,3,2609,5,258,7209,30685
"22","Lambeth",1211,4432,839,2858,1248,9668,6864,1121,2864,2560,916,2476,2259,2461,2333,1292,5225,3392,5504,2142,940,0,419,435,1550,2305,1594,649,627,3819,2243,520,12827,89593
"23","Lewisham",348,3099,170,2544,282,8642,5358,584,2689,1386,115,1301,3276,1501,1782,416,4107,3214,3940,3287,936,753,0,664,408,817,1737,497,543,1391,994,1445,16909,75135
"24","Merton",706,2027,479,1117,575,6322,7964,286,819,1299,681,1925,928,1475,814,663,1427,677,4197,1266,76,554,470,0,1149,1360,225,1675,54,3805,1385,164,10299,56863
"25","Newham",46,1359,89,1521,496,4467,3202,1130,1902,407,74,303,2813,462,1006,101,2733,2627,1552,2772,1029,1660,243,967,0,88,1638,1211,816,369,151,1917,12508,51659
"26","Redbridge",31,16,4,1737,8,6090,6826,12,2232,7,255,525,3973,461,6,3,12,15,2347,4117,7,3164,623,1467,113,0,11,2910,7,1416,10,3033,19567,61005
"27","Richmond upon Thames",737,15,3,497,7,4868,9082,11,209,6,906,1860,554,1158,6,2,11,14,3756,1007,6,1341,813,149,1288,7,0,2781,6,4485,9,411,9326,45331
"28","Southwark",663,3328,481,2540,935,6807,2614,1258,2875,1677,414,1175,2688,1512,2022,784,4948,3717,3063,2373,1210,387,165,784,674,1263,1969,0,849,1202,1229,1191,10781,67578
"29","Sutton",411,10,2,953,5,5498,6686,7,713,4,392,1437,1100,1101,4,2,7,9,3402,1428,4,604,291,41,735,5,7,1374,0,2765,6,352,10278,39633
"30","Tower Hamlets",203,1454,227,1456,744,3124,986,1324,1911,565,182,166,2275,445,1107,289,3082,2749,886,2032,1091,1181,239,925,107,319,1648,624,887,0,267,1568,7909,41972
"31","Waltham Forest",171,26,6,1587,12,4523,5990,19,2322,11,511,273,3979,204,10,4,19,24,1488,3971,10,3772,929,1830,237,12,18,3467,11,1452,0,3458,17468,57814
"32","Wandsworth",1635,3808,1230,1919,1825,9086,11513,1364,1606,2632,1593,3332,900,2633,1682,1615,3425,1733,6527,1151,467,695,1074,172,2395,2956,653,2674,489,6783,2751,0,11302,93620
"33","Westminster",938,1296,902,714,1903,887,2387,2193,1094,1028,1090,891,506,699,865,992,2557,1933,1041,204,984,1295,949,817,1180,1439,1119,1827,1077,2582,1049,853,0,39291
"34","(all)",18311,30744,11741,36217,24935,147986,209962,31087,41993,18454,23287,38070,60305,27973,18421,13276,48352,39294,86385,64377,17043,61567,24363,25944,27834,21032,23232,79675,16649,93131,17936,47429,353401,1800406
